,bq.record.name,bq.name,isArray,bq.array,tidy.name,type,
143,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  3  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  3  GROUP BY value),FALSE,NA,Custom Dimension 3,Custom Dimension 3,STRING
144,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  4  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  4  GROUP BY value),FALSE,NA,Custom Dimension 4,Custom Dimension 4,STRING
145,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  5  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  5  GROUP BY value),FALSE,NA,Custom Dimension 5,Custom Dimension 5,STRING
146,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  6  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  6  GROUP BY value),FALSE,NA,Custom Dimension 6,Custom Dimension 6,STRING
147,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  7  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  7  GROUP BY value),FALSE,NA,Custom Dimension 7,Custom Dimension 7,STRING
148,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  8  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  8  GROUP BY value),FALSE,NA,Custom Dimension 8,Custom Dimension 8,STRING
149,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  9  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  9  GROUP BY value),FALSE,NA,Custom Dimension 9,Custom Dimension 9,STRING
150,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  10  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  10  GROUP BY value),FALSE,NA,Custom Dimension 10,Custom Dimension 10,STRING
151,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  11  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  11  GROUP BY value),FALSE,NA,Custom Dimension 11,Custom Dimension 11,STRING
152,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  12  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  12  GROUP BY value),FALSE,NA,Custom Dimension 12,Custom Dimension 12,STRING
153,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  13  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  13  GROUP BY value),FALSE,NA,Custom Dimension 13,Custom Dimension 13,STRING
154,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  14  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  14  GROUP BY value),FALSE,NA,Custom Dimension 14,Custom Dimension 14,STRING
155,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  15  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  15  GROUP BY value),FALSE,NA,Custom Dimension 15,Custom Dimension 15,STRING
156,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  16  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  16  GROUP BY value),FALSE,NA,Custom Dimension 16,Custom Dimension 16,STRING
157,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  17  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  17  GROUP BY value),FALSE,NA,Custom Dimension 17,Custom Dimension 17,STRING
158,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  18  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  18  GROUP BY value),FALSE,NA,Custom Dimension 18,Custom Dimension 18,STRING
159,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  19  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  19  GROUP BY value),FALSE,NA,Custom Dimension 19,Custom Dimension 19,STRING
160,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  20  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  20  GROUP BY value),FALSE,NA,Custom Dimension 20,Custom Dimension 20,STRING
161,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  21  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  21  GROUP BY value),FALSE,NA,Custom Dimension 21,Custom Dimension 21,STRING
162,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  22  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  22  GROUP BY value),FALSE,NA,Custom Dimension 22,Custom Dimension 22,STRING
163,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  23  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  23  GROUP BY value),FALSE,NA,Custom Dimension 23,Custom Dimension 23,STRING
164,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  24  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  24  GROUP BY value),FALSE,NA,Custom Dimension 24,Custom Dimension 24,STRING
165,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  25  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  25  GROUP BY value),FALSE,NA,Custom Dimension 25,Custom Dimension 25,STRING
166,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  26  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  26  GROUP BY value),FALSE,NA,Custom Dimension 26,Custom Dimension 26,STRING
167,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  27  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  27  GROUP BY value),FALSE,NA,Custom Dimension 27,Custom Dimension 27,STRING
168,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  28  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  28  GROUP BY value),FALSE,NA,Custom Dimension 28,Custom Dimension 28,STRING
169,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  29  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  29  GROUP BY value),FALSE,NA,Custom Dimension 29,Custom Dimension 29,STRING
170,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  30  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  30  GROUP BY value),FALSE,NA,Custom Dimension 30,Custom Dimension 30,STRING
171,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  31  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  31  GROUP BY value),FALSE,NA,Custom Dimension 31,Custom Dimension 31,STRING
172,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  32  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  32  GROUP BY value),FALSE,NA,Custom Dimension 32,Custom Dimension 32,STRING
173,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  33  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  33  GROUP BY value),FALSE,NA,Custom Dimension 33,Custom Dimension 33,STRING
174,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  34  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  34  GROUP BY value),FALSE,NA,Custom Dimension 34,Custom Dimension 34,STRING
175,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  35  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  35  GROUP BY value),FALSE,NA,Custom Dimension 35,Custom Dimension 35,STRING
